Controlled Substances Schedule I,1970,1971,,1972,1973,,1974,Controlled Substances Schedule II,1975,1976,,1977,1978,1979,,1980,1981,1982,1983,1984,1985,,1986,,1987,1988,1989,1990,1991,1992,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,2015,
,Codeine (9059),Codeine (9059),,Codeine (9059),Codeine (9059),,Codeine (9059),,Codeine (9059),Codeine (9059),,Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),,Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),,Ethylmorphine (9190),,Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),,Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),Ethylmorphine (9190),,Ethylmorphine (9190),
,Ethylmorphine (9190),Ethylmorphine (9190),,Ethylmorphine (9190),Ethylmorphine (9190),,Ethylmorphine (9190),,Ethylmorphine (9190),Ethylmorphine (9190),,Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),,Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),,Hyrodcodone (9193),,Hyrodcodone (9193),Hyrodcodone (9103),Hyrodcodone (9103),Hyrodcodone (9103),Hyrodcodone (9103),Hyrodcodone (9103),,Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),Hyrodcodone (9193),,Hyrodcodone (9193),
,,,,,,,,,"Etorphine Hydrochloride (9059) (Apr. 19, 1974)",Etorphine Hydrochloride (9059),,Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),,Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),,Etorphine Hydrochloride (9059),,Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),,Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),Etorphine Hydrochloride (9059),,Etorphine Hydrochloride (9059),
,Hyrodcodone (9193),Hyrodcodone (9193),,Hyrodcodone (9193),Hyrodcodone (9193),,Hyrodcodone (9193),,Hyrodcodone (9193),Hyrodcodone (9193),,Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),,Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),,Hydromorphone (9194),,Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),,Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),Hydromorphone (9194),,Hydromorphone (9194),
,Hydromorphone (9194),Hydromorphone (9194),,Hydromorphone (9194),Hydromorphone (9194),,Hydromorphone (9194),,Hydromorphone (9194),Hydromorphone (9194),,Metopon (9620),Metopon (9620),Metopon (9620),,Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),,Metopon (9620),,Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),,Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),Metopon (9620),,Metopon (9620),
,Metopon (9620),Metopon (9620),,Metopon (9620),Metopon (9620),,Metopon (9620),,Metopon (9620),Metopon (9620),,Morphine (9300),Morphine (9300),Morphine (9300),,Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),,Morphine (9300),,Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),,Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),Morphine (9300),,Morphine (9300),
,Morphine (9300),Morphine (9300),,Morphine (9300),Morphine (9300),,Morphine (9300),,Morphine (9300),Morphine (9300),,Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),,Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),,Oxycodone (9143),,Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),,Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),Oxycodone (9143),,Oxycodone (9143),
,Oxycodone (9143),Oxycodone (9143),,Oxycodone (9143),Oxycodone (9143),,Oxycodone (9143),,Oxycodone (9143),Oxycodone (9143),,Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),,Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),,Oxymorphone (9652),,Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),,Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),Oxymorphone (9652),,Oxymorphone (9652),
,Oxymorphone (9652),Oxymorphone (9652),,Oxymorphone (9652),Oxymorphone (9652),,Oxymorphone (9652),,Oxymorphone (9652),Oxymorphone (9652),,Thebaine (9333),Thebaine (9333),Thebaine (9333),,Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),,Thebaine (9333),,Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),,Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),Thebaine (9333),,Thebaine (9333),
,Thebaine (9333),Thebaine (9333),,Thebaine (9333),Thebaine (9333),,Thebaine (9333),,Thebaine (9333),Thebaine (9333),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
