Controlled Substances Schedule I,1970,1971,,1972,1973,,1974,Controlled Substances Schedule II,1975,1976,,1977,1978,1979,,1980,1981,1982,1983,1984,1985,,1986,,1987,1988,1989,1990,1991,1992,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,2015,
"     (2) Any salt, compound, derivative, or preparation thereof which is chemically equivalent or identical with any of the substances referred to in subparagraph (1) of this paragraph, except that these substances shall not include the isoquinoline alkaloids of opium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     (3) Opium and poppy straw.,Opium poppy and poppy straw,Opium poppy and poppy straw,,Opium poppy and poppy straw,Opium poppy and poppy straw,,Opium poppy and poppy straw,,Opium poppy and poppy straw,Opium poppy and poppy straw,,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,,Opium poppy and poppy straw,,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,Opium poppy and poppy straw,,Opium poppy and poppy straw,
"     (4) Coca leaves (9040) and any salt, compound, derivative, or preparation of coca leaves, and any salt, compound, derivative, or preparation thereof which is chemically equivalent or identical with any of these substances, except that the substances shall not include decocainized coca leaves or extraction of coca leaves, which extractions do not contain cocaine (9041) or ecgonine (9180).",Coca leaves (9040),Coca leaves (9040),,Coca leaves (9040),Coca leaves (9040),,Coca leaves (9040),,Coca leaves (9040),Coca leaves (9040),,Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),,Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),,Coca leaves (9040),,Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),,Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),Coca leaves (9040),,Coca leaves (9040),
,Cocaine (9041),Cocaine (9041),,Cocaine (9041),Cocaine (9041),,Cocaine (9041),,Cocaine (9041),Cocaine (9041),,Cocaine (9041),Cocaine (9041),Cocaine (9041),,Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),,Cocaine (9041),,Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),,Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),Cocaine (9041),,Cocaine (9041),
,Ecgonine (9180),Ecgonine (9180),,Ecgonine (9180),Ecgonine (9180),,Ecgonine (9180),,Ecgonine (9180),Ecgonine (9180),,Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),,Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),,Ecgonine (9180),,Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),,Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),Ecgonine (9180),,Ecgonine (9180),
,,,,,,,,"     (5) Concentrate of poppy straw (the crude extract of poppy straw in either liquid, solid or powder form which contains the phenanthrine alkaloids of the opium poppy), 9670 (Feb. 14, 1975)",Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),,Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),,Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),,Concentrate of poppy straw (9670),,Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),,Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),Concentrate of poppy straw (9670),,Concentrate of poppy straw (9670),
"(c) Opiates.  Unless specifically excepted or unless in another schedule any of the following opiates, including its isomers, esters, ethers, salts and salts of isomers, esters and ethers whenever the existence of such isomers, esters, ethers, and salts is possible within the specific chemical designation:",Alphaprodine (9010),Alphaprodine (9010),,Alphaprodine (9010),Alphaprodine (9010),,Alphaprodine (9010),"(c) Opiates.  Unless specifically excepted or unless in another schedule any of the following opiates, including its isomers, esters, ethers, salts and salts of isomers, esters and ethers whenever the existence of such isomers, esters, ethers, and salts is possible within the specific chemical designation, dextrorphan excepted (Oct. 1, 1976):",Alphaprodine (9010),Alphaprodine (9010),,Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),"(c) Opiates.  Unless specifically excepted or unless in another schedule any of the following opiates, including its isomers, esters, ethers, salts and salts of isomers, esters and ethers whenever the existence of such isomers, esters, ethers, and salts is possible within the specific chemical designation, dextrorphan and levopropoxyphene (unknown when added) excepted:",Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),,Alphaprodine (9010),,"Alfentanil (9737) (Jan. 23, 1987)",Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),,Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),Alfentanil (9737),,Alfentanil (9737),
,Anilerdine (9020),Anilerdine (9020),,Anilerdine (9020),Anilerdine (9020),,Anilerdine (9020),,Anilerdine (9020),Anilerdine (9020),,Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),,Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),,Anilerdine (9020),,Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),,Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),Alphaprodine (9010),,Alphaprodine (9010),
,Bezitramide (9800),Bezitramide (9800),,Bezitramide (9800),Bezitramide (9800),,Bezitramide (9800),,Bezitramide (9800),Bezitramide (9800),,Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),,Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),,Bezitramide (9800),,Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),,Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),Anilerdine (9020),,Anilerdine (9020),
,Dihydrocodeine (9120),Dihydrocodeine (9120),,Dihydrocodeine (9120),Dihydrocodeine (9120),,Dihydrocodeine (9120),,Dihydrocodeine (9120),Dihydrocodeine (9120),,Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),,Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),,Dihydrocodeine (9120),,Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),,Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),Bezitramide (9800),,Bezitramide (9800),
,Diphenoxylate (9170),Diphenoxylate (9170),,Diphenoxylate (9170),Diphenoxylate (9170),,Diphenoxylate (9170),,Diphenoxylate (9170),Diphenoxylate (9170),,Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),,Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),,Diphenoxylate (9170),,Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),,Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),Dihydrocodeine (9120),,Dihydrocodeine (9120),
,Fentanyl (9801),Fentanyl (9801),,Fentanyl (9801),Fentanyl (9801),,Fentanyl (9801),,Fentanyl (9801),Fentanyl (9801),,Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),,Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),,Fentanyl (9801),,Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),,Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),Diphenoxylate (9170),,Diphenoxylate (9170),
,Isomethadone (9226),Isomethadone (9226),,Isomethadone (9226),Isomethadone (9226),,Isomethadone (9226),,Isomethadone (9226),Isomethadone (9226),,Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),,Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),,Isomethadone (9226),,Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),,Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),Fentanyl (9801),,Fentanyl (9801),
,Levomethorphan (9210),Levomethorphan (9210),,Levomethorphan (9210),Levomethorphan (9210),,Levomethorphan (9210),,Levomethorphan (9210),Levomethorphan (9210),,Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),,Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),,Levomethorphan (9210),,Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),,Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),Isomethadone (9226),,Isomethadone (9226),
,Levorphanol (9220),Levorphanol (9220),,Levorphanol (9220),Levorphanol (9220),,Levorphanol (9220),,Levorphanol (9220),Levorphanol (9220),,Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),,Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),,Levorphanol (9220),,Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),,Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),Levomethorphan (9210),,Levomethorphan (9210),
,Metazocine (9240),Metazocine (9240),,Metazocine (9240),Metazocine (9240),,Metazocine (9240),,Metazocine (9240),Metazocine (9240),,Metazocine (9240),Metazocine (9240),Metazocine (9240),,Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),,Metazocine (9240),,Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),,Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),Levorphanol (9220),,Levorphanol (9220),
,Methadone (9250),Methadone (9250),,Methadone (9250),Methadone (9250),,Methadone (9250),,Methadone (9250),Methadone (9250),,Methadone (9250),Methadone (9250),Methadone (9250),,Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),,Methadone (9250),,Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),,Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),Metazocine (9240),,Metazocine (9240),
,Methadone-Intermediate (9254),Methadone-Intermediate (9254),,Methadone-Intermediate (9254),Methadone-Intermediate (9254),,Methadone-Intermediate (9254),,Methadone-Intermediate (9254),Methadone-Intermediate (9254),,Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),,Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),,Methadone-Intermediate (9254),,Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),,Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),Methadone (9250),,Methadone (9250),
,Moramine-Intermediate (9802),Moramine-Intermediate (9802),,Moramine-Intermediate (9802),Moramine-Intermediate (9802),,Moramine-Intermediate (9802),,Moramine-Intermediate (9802),Moramine-Intermediate (9802),,Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),,Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),,Moramine-Intermediate (9802),,Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),,Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),Methadone-Intermediate (9254),,Methadone-Intermediate (9254),
,Pethidine (9230),Pethidine (9230),,Pethidine (9230),Pethidine (9230),,Pethidine (9230),,"Phenmetrazine (1,630)",Pethidine (9230),,Pethidine (9230),Pethidine (9230),Pethidine (9230),,Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),,Pethidine (9230),,Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),,Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),Moramine-Intermediate (9802),,Moramine-Intermediate (9802),
,Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),,Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),,Pethidine-Intermediate-A (9232),,Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),,Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),,Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),,Pethidine-Intermediate-A (9232),,Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),,Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),Pethidine (9230),,Pethidine (9230),
,Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),,Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),,Pethidine-Intermediate-B (9233),,Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),,Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),,Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),,Pethidine-Intermediate-B (9233),,Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),,Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),Pethidine-Intermediate-A (9232),,Pethidine-Intermediate-A (9232),
,Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),,Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),,Pethidine-Intermediate-O (9234),,Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),,Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),,Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),,Pethidine-Intermediate-O (9234),,Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),,Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),Pethidine-Intermediate-B (9233),,Pethidine-Intermediate-B (9233),
,Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),,Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),,Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),Pethidine-Intermediate-O (9234),,Pethidine-Intermediate-O (9234),
,Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),Phenazocine (9715),,Phenazocine (9715),
